xmin,ymax,xmax,ymin,lon,lat,area,Piping_Plover,Red_Knot,Roseate_Tern
-79.49984412,33.26902266,-78.99984412,32.76902266,-79.24984412,33.01902266,2590.537989,1,1,1
-79.99984412,33.26902266,-79.49984412,32.76902266,-79.74984412,33.01902266,2590.537989,1,1,1
-75.99984412,32.76902266,-75.49984412,32.26902266,-75.74984412,32.51902266,2604.853226,1,1,1
-75.99984412,32.26902266,-75.49984412,31.76902266,-75.74984412,32.01902266,2618.969308,1,1,1
-76.99984412,33.76902266,-76.49984412,33.26902266,-76.74984412,33.51902266,2576.024522,1,1,1
-76.99984412,34.26902266,-76.49984412,33.76902266,-76.74984412,34.01902266,2561.31377,1,1,1
-76.99984412,32.76902266,-76.49984412,32.26902266,-76.74984412,32.51902266,2604.853226,1,1,1
-76.99984412,33.26902266,-76.49984412,32.76902266,-76.74984412,33.01902266,2590.537989,1,1,1
-76.99984412,32.26902266,-76.49984412,31.76902266,-76.74984412,32.01902266,2618.969308,1,1,1
-76.49984412,32.76902266,-75.99984412,32.26902266,-76.24984412,32.51902266,2604.853226,1,1,1
-76.49984412,33.26902266,-75.99984412,32.76902266,-76.24984412,33.01902266,2590.537989,1,1,1
-76.49984412,32.26902266,-75.99984412,31.76902266,-76.24984412,32.01902266,2618.969308,1,1,1
-74.49984412,32.76902266,-73.99984412,32.26902266,-74.24984412,32.51902266,2604.853226,1,1,1
-74.49984412,33.26902266,-73.99984412,32.76902266,-74.24984412,33.01902266,2590.537989,1,1,1
-75.49984412,32.76902266,-74.99984412,32.26902266,-75.24984412,32.51902266,2604.853226,1,1,1
-75.49984412,33.26902266,-74.99984412,32.76902266,-75.24984412,33.01902266,2590.537989,1,1,1
-75.49984412,32.26902266,-74.99984412,31.76902266,-75.24984412,32.01902266,2618.969308,1,1,1
-74.99984412,32.76902266,-74.49984412,32.26902266,-74.74984412,32.51902266,2604.853226,1,1,1
-74.99984412,33.26902266,-74.49984412,32.76902266,-74.74984412,33.01902266,2590.537989,1,1,1
-72.99984412,33.76902266,-72.49984412,33.26902266,-72.74984412,33.51902266,2576.024522,1,1,1
-72.99984412,33.26902266,-72.49984412,32.76902266,-72.74984412,33.01902266,2590.537989,1,1,1
-73.99984412,32.76902266,-73.49984412,32.26902266,-73.74984412,32.51902266,2604.853226,1,1,1
-73.99984412,33.26902266,-73.49984412,32.76902266,-73.74984412,33.01902266,2590.537989,1,1,1
-73.49984412,33.76902266,-72.99984412,33.26902266,-73.24984412,33.51902266,2576.024522,1,1,1
-73.49984412,33.26902266,-72.99984412,32.76902266,-73.24984412,33.01902266,2590.537989,1,1,1
-77.49984412,33.76902266,-76.99984412,33.26902266,-77.24984412,33.51902266,2576.024522,1,1,1
-77.49984412,34.26902266,-76.99984412,33.76902266,-77.24984412,34.01902266,2561.31377,1,1,1
-77.49984412,32.76902266,-76.99984412,32.26902266,-77.24984412,32.51902266,2604.853226,1,1,1
-77.49984412,33.26902266,-76.99984412,32.76902266,-77.24984412,33.01902266,2590.537989,1,1,1
-77.49984412,32.26902266,-76.99984412,31.76902266,-77.24984412,32.01902266,2618.969308,1,1,1
-72.49984412,33.76902266,-71.99984412,33.26902266,-72.24984412,33.51902266,2576.024522,1,1,1
-78.49984412,32.76902266,-77.99984412,32.26902266,-78.24984412,32.51902266,2604.853226,1,1,1
-72.49984412,33.26902266,-71.99984412,32.76902266,-72.24984412,33.01902266,2590.537989,1,1,1
-78.49984412,32.26902266,-77.99984412,31.76902266,-78.24984412,32.01902266,2618.969308,1,1,1
-77.99984412,33.76902266,-77.49984412,33.26902266,-77.74984412,33.51902266,2576.024522,1,1,1
-71.99984412,33.76902266,-71.49984412,33.26902266,-71.74984412,33.51902266,2576.024522,1,1,1
-77.99984412,32.76902266,-77.49984412,32.26902266,-77.74984412,32.51902266,2604.853226,1,1,1
-77.99984412,33.26902266,-77.49984412,32.76902266,-77.74984412,33.01902266,2590.537989,1,1,1
-71.99984412,33.26902266,-71.49984412,32.76902266,-71.74984412,33.01902266,2590.537989,1,1,1
-77.99984412,32.26902266,-77.49984412,31.76902266,-77.74984412,32.01902266,2618.969308,1,1,1
-81.49984412,31.76902266,-80.99984412,31.26902266,-81.24984412,31.51902266,2632.885323,1,1,1
-76.99984412,31.76902266,-76.49984412,31.26902266,-76.74984412,31.51902266,2632.885323,1,1,1
-76.99984412,31.26902266,-76.49984412,30.76902266,-76.74984412,31.01902266,2646.600376,1,1,1
-76.49984412,31.76902266,-75.99984412,31.26902266,-76.24984412,31.51902266,2632.885323,1,1,1
-76.49984412,31.26902266,-75.99984412,30.76902266,-76.24984412,31.01902266,2646.600376,1,1,1
-74.49984412,32.26902266,-73.99984412,31.76902266,-74.24984412,32.01902266,2618.969308,1,1,1
-79.49984412,31.76902266,-78.99984412,31.26902266,-79.24984412,31.51902266,2632.885323,1,1,1
-79.49984412,32.26902266,-78.99984412,31.76902266,-79.24984412,32.01902266,2618.969308,1,1,1
-79.49984412,30.76902266,-78.99984412,30.26902266,-79.24984412,30.51902266,2660.113585,1,1,1
-79.49984412,31.26902266,-78.99984412,30.76902266,-79.24984412,31.01902266,2646.600376,1,1,1
-74.99984412,32.26902266,-74.49984412,31.76902266,-74.74984412,32.01902266,2618.969308,1,1,1
-78.99984412,32.76902266,-78.49984412,32.26902266,-78.74984412,32.51902266,2604.853226,1,1,1
-78.99984412,33.26902266,-78.49984412,32.76902266,-78.74984412,33.01902266,2590.537989,1,1,1
-78.99984412,31.76902266,-78.49984412,31.26902266,-78.74984412,31.51902266,2632.885323,1,1,1
-78.99984412,32.26902266,-78.49984412,31.76902266,-78.74984412,32.01902266,2618.969308,1,1,1
-78.99984412,30.76902266,-78.49984412,30.26902266,-78.74984412,30.51902266,2660.113585,1,1,1
-78.99984412,31.26902266,-78.49984412,30.76902266,-78.74984412,31.01902266,2646.600376,1,1,1
-79.99984412,32.76902266,-79.49984412,32.26902266,-79.74984412,32.51902266,2604.853226,1,1,1
-79.99984412,31.76902266,-79.49984412,31.26902266,-79.74984412,31.51902266,2632.885323,1,1,1
-79.99984412,32.26902266,-79.49984412,31.76902266,-79.74984412,32.01902266,2618.969308,1,1,1
-73.99984412,32.26902266,-73.49984412,31.76902266,-73.74984412,32.01902266,2618.969308,1,1,1
